occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2006-08-22,CAPITAL MURDER,N,2006-08-22 18:48:00,RESIDENCE / HOME,1200 BLOCK E 38TH HALF ST,78722.0,9.0,CH,3,C,2006-10-16 00:00:00,,,2006,8,34,22
2006-08-28,MURDER,N,2006-08-28 02:23:00,RESIDENCE / HOME,406 DENSON DR,78752.0,4.0,ID,6,N,2007-03-05 00:00:00,30.32870087,-97.71960635,2006,8,35,28
2006-09-03,MURDER,N,2006-09-03 07:06:00,STREETS / HWY / ROAD / ALLEY,1909 S L DAVIS AVE,78702.0,1.0,CH,2,,,30.27066319,-97.7184083,2006,9,35,3
2006-09-17,MURDER,N,2006-09-17 14:41:00,HOTEL / MOTEL / ETC.,2607 S I 35 NB SVC RD,78741.0,3.0,HE,2,C,2006-10-16 00:00:00,30.23043726,-97.74266621,2006,9,37,17
2006-09-30,CAPITAL MURDER,N,2006-09-30 21:42:00,STREETS / HWY / ROAD / ALLEY,9200 NORTH PLAZA,78753.0,,ED,5,N,2007-01-12 00:00:00,30.3549733,-97.68519826,2006,9,39,30
2006-11-03,CAPITAL MURDER,N,2006-11-03 02:19:00,PARKING LOTS / GARAGE,10503 N LAMAR BLVD,78753.0,4.0,ED,1,N,2006-12-22 00:00:00,30.37381396,-97.69055867,2006,11,44,3
2006-11-19,MURDER,N,2006-11-19 02:13:00,PARKING LOTS / GARAGE,1523 TINNIN FORD RD,78741.0,3.0,HE,2,C,2006-12-22 00:00:00,30.2404824,-97.72603912,2006,11,46,19
2006-12-24,MURDER,N,2006-12-24 14:27:00,PARKING LOTS / GARAGE,9900 QUAIL BLVD,78758.0,4.0,ED,1,C,2006-12-25 00:00:00,30.37212829,-97.70087254,2006,12,51,24
2006-12-25,MURDER,N,2006-12-25 02:08:00,RESIDENCE / HOME,1201 TOWN CREEK DR,78741.0,3.0,HE,2,C,2007-01-04 00:00:00,30.24329005,-97.72601716,2006,12,52,25
2007-01-06,MURDER,N,2007-01-07 07:09:00,STREETS / HWY / ROAD / ALLEY,W WELLS BRANCH PKWY / N IH 35 SVRD SB,78728.0,7.0,ED,6,C,2007-06-11 00:00:00,30.44025904,-97.66933249,2007,1,1,6
